chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.356527007,0.229848221,2532.064613,2518.358129,5489.243141,0.122454367,-11.6703571,83.88590411,-7.416312952,23.35729112,-6.491723796,16.74376384,-3.848529892,7.52151639,-4.365019294,5.498935063,2.068581002,4.333611344,-3.098344494,0.755518313,-0.95326573,2.23346707,-9.704069041,-1.095615149,-4.851202516,-0.150166464,alternative
0.409406706,0.228610396,2235.050425,2668.317965,5388.296884,0.076640897,-41.18837825,93.14322279,13.74675366,31.86544918,9.093628455,5.440678113,0.624609377,16.81601392,-2.976974223,1.370025565,1.142353928,2.643441842,-11.51855292,-3.016956921,-12.51820366,-4.482142694,-7.354183496,3.920002343,2.089072549,2.585001058,alternative
0.459412274,0.201372087,2459.856,2315.03521,4754.44132,0.139059328,-12.0306165,83.23866625,-22.26476729,40.14931057,4.910534758,-0.116839607,-3.663601268,13.92029284,-1.795971599,4.531300622,-0.525455402,3.837195235,-7.677344958,-1.033585851,-8.54199787,-3.505915575,-12.14596609,-3.971643064,-3.442364485,1.573027452,alternative
0.478849281,0.339386314,2993.234619,2655.339361,6043.13608,0.161584841,59.99143693,64.33333202,-20.06326714,18.83082287,6.185179739,9.347021055,-4.059658901,6.490948628,5.347141386,8.464684685,-2.080027553,3.379682859,1.182907569,1.99742087,-1.819568868,3.470799678,-4.083542201,6.818586811,-0.717862702,-2.852715355,alternative
0.459585403,0.390760481,3154.576866,2707.138452,6370.905405,0.157593623,63.93632628,49.04019611,-22.1899513,29.249497,16.04667391,14.79408795,5.996899849,11.75613496,-2.222816705,-3.436186683,-3.280947501,5.469934426,-3.278766695,1.862915054,1.040198154,8.040131554,-1.836012247,5.306622755,-0.418026281,3.03226027,alternative
0.323139032,0.114759102,1578.523841,2084.045718,3174.873455,0.060071056,-220.4489572,124.7731912,35.90662638,35.53804744,11.06844193,7.047712553,-3.750612048,1.26391941,-6.226086187,3.310532625,-4.766255137,0.237230232,-6.486016533,-2.436785116,-0.294416947,-1.820812816,-8.378443229,-0.316336789,-6.547633291,-6.835029162,alternative
0.376461332,0.091912605,1523.790078,2018.315805,3319.43569,0.069022123,-210.2511963,116.3999502,6.566421663,42.9863888,19.77634932,21.75929739,10.62992494,8.35749788,-0.705858664,0.413684086,-7.908063828,5.468052926,0.225250293,-0.339278627,-6.73128312,2.681186797,-6.307066451,-0.470406818,0.305199266,5.924165421,alternative
0.493445797,0.197188199,2631.443582,2414.98304,5247.856434,0.141939168,-4.573628738,77.29436683,-23.09585929,35.48470778,6.13990716,16.2138555,-0.605550452,8.05174886,-2.6798988,4.0227627,-3.409864772,2.577952836,-5.960192573,0.385586003,-4.285252276,2.408016344,-4.544680018,1.073864826,-7.023146385,1.75028018,alternative
0.410204135,0.266379207,2532.061465,2582.502664,5448.100235,0.119112302,12.03607595,81.58943522,-5.634618486,33.38411572,7.068111996,6.284884187,-1.825058101,10.43950269,-5.825180536,4.259436289,-6.268931759,7.26612791,-1.667743318,-0.327412177,-1.789418315,5.220122207,-7.561291739,1.456758492,-2.164275418,0.377511781,alternative
0.353735755,0.264921844,1259.423044,1854.213666,2500.224711,0.045729635,-89.59920879,146.3543808,19.15526824,33.81920244,-0.185048862,15.71396624,-4.863982789,4.238268478,-2.725205291,7.208257127,-4.770293494,1.79594145,-9.271225603,-0.509106402,-5.78360945,3.093158899,-6.326888877,1.71467985,-8.745015497,4.252816492,alternative
0.318508251,0.391408026,2061.141373,2324.318449,4419.852315,0.086164081,14.39766735,106.3733044,0.541817583,30.16375191,-3.692513532,6.879267917,-5.269185628,0.001035022,-12.84735672,9.204676815,-5.232213696,3.392997813,-4.431307238,-2.78147444,0.185614793,-5.288503121,-2.475130487,8.782674038,-8.438025809,-4.233074382,alternative
0.281290345,0.189807191,1200.495947,1928.04429,2439.172335,0.03392705,-162.9014789,132.9865923,23.16394324,38.70007314,20.67079853,23.16357357,1.046253412,-0.486888537,-6.730075304,-2.013733114,-8.604013651,1.187187957,-6.976474086,-1.749997656,-1.104906319,-0.338716035,-3.422701707,3.958558133,-5.894111349,-0.277633471,alternative
0.403971028,0.22122699,1765.252166,2086.767353,3744.079448,0.076047256,-66.38851228,115.7384449,-14.43535569,32.86691299,2.205500118,13.20942864,-1.210814516,11.8907469,5.708106072,2.109792664,4.761581579,0.349747553,-0.894898511,-2.799401477,-5.300816888,-1.963171089,-5.556797353,-0.267133465,-2.738823586,0.442956231,alternative
0.368420303,0.256694704,2553.612864,2572.224019,5484.097156,0.116874819,10.59551202,80.09505524,-17.5693865,20.38470071,9.843522028,13.96334706,2.325100079,12.40551307,3.482331014,10.45154619,2.979203337,3.026633974,-1.529441148,2.039358661,-0.222137776,3.249465551,-4.232757147,4.584797053,-4.928814571,1.950468159,alternative
0.297923211,0.234570816,1873.73477,2497.15047,4665.285865,0.055461273,-77.56823607,102.054248,20.3084085,24.91038941,-3.35822885,16.54201548,3.182669698,4.706132879,-7.661718284,-8.983203161,-9.066504192,-1.976053995,-10.91185182,-0.46355586,-9.280744842,7.314244619,-9.70649081,1.815747155,-10.41546844,-4.25461554,alternative
